id,question,answer,language,created_at,updated_at
1,Bagaimana cara melakukan pemesanan?,"Anda bisa melakukan pemesanan langsung melalui platform kami. Pilih produk yang diinginkan kemudian masukkan jumlah pesanan dan konfirmasi ke agen kami. Pesanan akan diproses dalam 1x24 jam kerja.",id,2024-01-01,2024-01-01
2,Berapa minimum pemesanan?,"Minimum pemesanan adalah 1 dus atau 1 karton per produk. Tidak ada minimum nilai transaksi untuk pelanggan yang sudah terdaftar.",id,2024-01-01,2024-01-01
3,Metode pembayaran apa saja yang tersedia?,"Kami menerima pembayaran melalui transfer bank (BCA dan Mandiri) serta tunai saat pengiriman (COD) untuk area tertentu.",id,2024-01-01,2024-01-01
4,Berapa lama pengiriman ke lokasi saya?,"Estimasi pengiriman 1-3 hari kerja untuk area Jawa dan 3-7 hari kerja untuk luar Jawa. Pengiriman dilakukan setiap hari Senin sampai Sabtu.",id,2024-01-01,2024-01-01
5,Apakah ada biaya pengiriman?,"Biaya pengiriman gratis untuk pembelian minimal 5 karton. Untuk pembelian di bawah minimum biaya ongkos kirim akan diinformasikan saat konfirmasi pesanan.",id,2024-01-01,2024-01-01
6,Bagaimana cara mengecek stok produk?,"Anda bisa menanyakan stok langsung melalui chat platform ini. Sebutkan nama produk dan jumlah yang dibutuhkan dan kami akan membantu mengecek ketersediaan stok.",id,2024-01-01,2024-01-01
7,Apakah harga bisa dinegosiasi?,"Harga sudah sesuai dengan harga distributor resmi. Untuk pembelian dalam jumlah besar silakan hubungi tim sales kami untuk penawaran khusus.",id,2024-01-01,2024-01-01
8,Bagaimana jika produk yang diterima rusak atau tidak sesuai?,"Apabila ada produk yang rusak harap laporkan dalam 24 jam setelah barang diterima. Kami akan memproses penggantian atau pengembalian dana sesuai kondisi barang.",id,2024-01-01,2024-01-01
9,Apakah bisa memesan produk yang tidak ada di katalog?,"Silakan tanyakan langsung ke agen kami. Untuk produk di luar katalog kami akan carikan melalui jaringan supplier kami dengan waktu pengadaan yang lebih lama.",id,2024-01-01,2024-01-01
10,Bagaimana cara menjadi mitra reseller?,"Untuk mendaftar sebagai mitra silakan hubungi tim kami melalui email atau telepon yang tertera di halaman Kontak. Kami akan membantu proses verifikasi dan onboarding.",id,2024-01-01,2024-01-01
11,Apakah ada program loyalitas atau poin reward?,"Ya kami memiliki program poin untuk pelanggan setia. Setiap pembelian akan mendapatkan poin yang bisa ditukar dengan diskon atau produk gratis.",id,2024-01-01,2024-01-01
12,Bagaimana cara membatalkan pesanan?,"Pembatalan pesanan bisa dilakukan sebelum pesanan diproses (biasanya dalam 2 jam setelah pemesanan). Hubungi agen Anda secepatnya jika ingin membatalkan pesanan.",id,2024-01-01,2024-01-01
13,Apakah tersedia faktur atau nota pembelian?,"Ya kami menyediakan faktur resmi untuk setiap transaksi. Faktur akan dikirimkan bersama barang atau melalui email sesuai permintaan.",id,2024-01-01,2024-01-01
14,Produk apa yang paling banyak diminati?,"Produk dengan penjualan tertinggi antara lain Indomie Mi Goreng Original dan Aqua Air Mineral 600ml serta Teh Botol Sosro dan Kopi Kapal Api Special Mix. Produk-produk ini selalu tersedia stoknya.",id,2024-01-01,2024-01-01
15,Bagaimana cara menggunakan kode promo?,"Beritahu kode promo Anda kepada agen saat melakukan pemesanan sebelum konfirmasi akhir. Diskon akan langsung diterapkan pada total tagihan Anda.",id,2024-01-01,2024-01-01
